Country;;Fine in Euro
Austria;0.5‰ *;from 300
Belgium;0.5‰ *;from 180
Bosnia-Herzegovina;0,3‰*;from 200
Bulgaria;0.5‰; from 255
Croatia;0.5‰ *;from 400
Cyprus;0.5‰ *;from 100
Czeck Republic;0.00‰;from 100
Denmark;0.5‰;up to 1 net monthly earnings
Estonia;0.2‰;from 400
Finland;0.5‰;from 15 daily rates
France;0.5‰ *;from 135
Germany;0.5‰ *;from 500
Great Britain;0.8‰ (Schottland 0.5‰ );unlimited
Greece;0.5‰ *;200
Hungary;0.00‰;up to 300***
Iceland;0.5‰;from 515
Ireland;0.5‰ *;from 200
Italy;0.5‰ *;from 530
Litavia;0.5‰ *;from 210
Lithuania;0,4**;from 290
Luxembourg;0.5‰ *;from 145
Malta;0.5‰ *;from 1.200
Montenegro;0,3*;from 70
Netherlands;0.5‰ *;from 325
North Macedonia;0.5‰ *;from 250
Norway;0.2‰;from 520
Poland;0.2‰;up to 1.200***
Portugal;0.5‰ *;from 250
Romania;0.00‰;from 420
Serbia;0.3‰*;from 40
Slovakia;0.00‰;from 200
Slovenia;0.5‰ *;from 300
Spain;0.5‰ *;from 500
Sweden;0.2‰;from 40 daily rates
Swizerland;0.5‰ *;from 560
Turkey;0.5‰ ****;from 150
;;
;;
;;
;;